29,"Farming, Fishing, & Forestry Occupations","2018",23530,19147
15,"Health Diagnosing & Treating Practitioners & Other Technical Occupations","2017",79424,3842
25,"Sales & Office Occupations","2015",32208,407
15,"Health Diagnosing & Treating Practitioners & Other Technical Occupations","2018",80973,1331
1,"Management, Business, Science, & Arts Occupations","2016",65525,588
21,"Law Enforcement Workers Including Supervisors","2014",70425,6038
11,"Legal Occupations","2017",110216,13323
32,"Production, Transportation, & Material Moving Occupations","2013",26740,734
16,"Health Technologists & Technicians","2014",42564,2922
23,"Building & Grounds Cleaning & Maintenance Occupations","2014",22067,806
12,"Education Instruction, & Library Occupations","2013",40146,1661
1,"Management, Business, Science, & Arts Occupations","2017",67343,921
23,"Building & Grounds Cleaning & Maintenance Occupations","2017",24735,1565
18,"Healthcare Support Occupations","2015",22297,486
3,"Management Occupations","2015",76364,1808
10,"Community & Social Service Occupations","2018",47670,2347
25,"Sales & Office Occupations","2018",37313,707
8,"Life, Physical, & Social Science Occupations","2016",60871,2559
22,"Food Preparation & Serving Related Occupations","2014",19808,658
10,"Community & Social Service Occupations","2014",41907,678
0,"Total","2014",37234,314
33,"Production Occupations","2018",31487,1814
13,"Arts, Design, Entertainment, Sports, & Media Occupations","2018",61209,824
17,"Service Occupations","2016",22380,324
6,"Computer & Mathematical Occupations","2013",80723,1804
33,"Production Occupations","2017",31241,882
23,"Building & Grounds Cleaning & Maintenance Occupations","2015",21797,936
24,"Personal Care & Service Occupations","2014",17393,735
9,"Education, Legal, Community Service, Arts, & Media Occupations","2018",56445,963
25,"Sales & Office Occupations","2016",32385,800
26,"Sales & Related Occupations","2013",26695,1058
20,"Fire Fighting & Prevention, & Other Protective Service Workers Including Supervisors","2015",30920,1160
24,"Personal Care & Service Occupations","2018",21648,824
27,"Office & Administrative Support Occupations","2015",35012,937
34,"Transportation Occupations","2015",31063,513
10,"Community & Social Service Occupations","2013",42182,1702
3,"Management Occupations","2017",81276,1084
18,"Healthcare Support Occupations","2018",23184,871
32,"Production, Transportation, & Material Moving Occupations","2015",27797,1335
7,"Architecture & Engineering Occupations","2017",72057,3738
31,"Installation, Maintenance, & Repair Occupations","2015",42298,1780
33,"Production Occupations","2014",22454,1140
33,"Production Occupations","2016",26606,817
35,"Material Moving Occupations","2015",22212,755
25,"Sales & Office Occupations","2014",31600,401
14,"Healthcare Practitioners & Technical Occupations","2014",65857,1231
27,"Office & Administrative Support Occupations","2017",35881,721
30,"Construction & Extraction Occupations","2013",31871,1361
17,"Service Occupations","2018",25802,361
3,"Management Occupations","2013",77097,2097
2,"Management, Business, & Financial Occupations","2016",75716,1035
21,"Law Enforcement Workers Including Supervisors","2015",65993,3355
30,"Construction & Extraction Occupations","2018",36713,1150
28,"Natural Resources, Construction, & Maintenance Occupations","2016",37105,981
35,"Material Moving Occupations","2013",23634,2995
3,"Management Occupations","2016",77481,2726
32,"Production, Transportation, & Material Moving Occupations","2018",31057,512
34,"Transportation Occupations","2016",31083,493
5,"Computer, Engineering, & Science Occupations","2015",72416,4179
13,"Arts, Design, Entertainment, Sports, & Media Occupations","2017",56875,1673
16,"Health Technologists & Technicians","2015",41370,1149
4,"Business & Financial Operations Occupations","2015",71168,1054
18,"Healthcare Support Occupations","2014",22773,1059
29,"Farming, Fishing, & Forestry Occupations","2013",22232,1713
32,"Production, Transportation, & Material Moving Occupations","2014",26321,662
17,"Service Occupations","2015",21781,295
1,"Management, Business, Science, & Arts Occupations","2018",71015,545
3,"Management Occupations","2014",75363,2512
11,"Legal Occupations","2016",103626,12569
2,"Management, Business, & Financial Occupations","2017",79723,2801
31,"Installation, Maintenance, & Repair Occupations","2013",40508,1402
9,"Education, Legal, Community Service, Arts, & Media Occupations","2017",53315,2009
14,"Healthcare Practitioners & Technical Occupations","2017",67360,2268
8,"Life, Physical, & Social Science Occupations","2015",57665,6531
29,"Farming, Fishing, & Forestry Occupations","2017",20365,2582
16,"Health Technologists & Technicians","2017",44058,2959
26,"Sales & Related Occupations","2015",29652,2163
27,"Office & Administrative Support Occupations","2014",33432,1141
15,"Health Diagnosing & Treating Practitioners & Other Technical Occupations","2016",75937,1843
19,"Protective Service Occupations","2013",38742,2090
8,"Life, Physical, & Social Science Occupations","2018",69316,4355
12,"Education Instruction, & Library Occupations","2017",46401,1943
20,"Fire Fighting & Prevention, & Other Protective Service Workers Including Supervisors","2013",29638,1464
26,"Sales & Related Occupations","2018",33791,2323
32,"Production, Transportation, & Material Moving Occupations","2017",30749,529
15,"Health Diagnosing & Treating Practitioners & Other Technical Occupations","2015",76322,1112
8,"Life, Physical, & Social Science Occupations","2013",60755,4472
13,"Arts, Design, Entertainment, Sports, & Media Occupations","2014",51507,877
22,"Food Preparation & Serving Related Occupations","2015",20433,493
23,"Building & Grounds Cleaning & Maintenance Occupations","2013",22673,1191
31,"Installation, Maintenance, & Repair Occupations","2016",43199,4270
25,"Sales & Office Occupations","2017",33307,1467
5,"Computer, Engineering, & Science Occupations","2014",70897,1190
21,"Law Enforcement Workers Including Supervisors","2016",62387,5247
1,"Management, Business, Science, & Arts Occupations","2014",61905,342
8,"Life, Physical, & Social Science Occupations","2014",55323,4158
22,"Food Preparation & Serving Related Occupations","2018",25466,470
35,"Material Moving Occupations","2017",24872,1563
29,"Farming, Fishing, & Forestry Occupations","2016",22140,4179
11,"Legal Occupations","2014",100476,6885
21,"Law Enforcement Workers Including Supervisors","2018",70732,3494
0,"Total","2013",37113,269
14,"Healthcare Practitioners & Technical Occupations","2016",68084,1814
2,"Management, Business, & Financial Occupations","2014",71985,982
15,"Health Diagnosing & Treating Practitioners & Other Technical Occupations","2013",76679,3573
4,"Business & Financial Operations Occupations","2014",69847,2623
27,"Office & Administrative Support Occupations","2018",39707,1112
29,"Farming, Fishing, & Forestry Occupations","2014",11490,14731
15,"Health Diagnosing & Treating Practitioners & Other Technical Occupations","2014",76579,2826
24,"Personal Care & Service Occupations","2017",20316,489
9,"Education, Legal, Community Service, Arts, & Media Occupations","2016",51187,641
35,"Material Moving Occupations","2014",22128,1277
5,"Computer, Engineering, & Science Occupations","2018",81964,1764
2,"Management, Business, & Financial Occupations","2015",75017,3961
2,"Management, Business, & Financial Occupations","2018",81050,823
35,"Material Moving Occupations","2016",25402,2056
19,"Protective Service Occupations","2016",42340,3350
26,"Sales & Related Occupations","2016",30169,1510
28,"Natural Resources, Construction, & Maintenance Occupations","2014",35735,976
8,"Life, Physical, & Social Science Occupations","2017",64510,7618
0,"Total","2016",40240,256
7,"Architecture & Engineering Occupations","2018",77152,5032
13,"Arts, Design, Entertainment, Sports, & Media Occupations","2013",51943,1037
28,"Natural Resources, Construction, & Maintenance Occupations","2015",36234,864
16,"Health Technologists & Technicians","2018",44054,3012
0,"Total","2017",41092,253
20,"Fire Fighting & Prevention, & Other Protective Service Workers Including Supervisors","2018",35461,2411
11,"Legal Occupations","2015",101607,2133
7,"Architecture & Engineering Occupations","2016",76826,4897
10,"Community & Social Service Occupations","2016",44186,2440
34,"Transportation Occupations","2014",29784,1083
10,"Community & Social Service Occupations","2017",43131,2025
12,"Education Instruction, & Library Occupations","2016",42280,2552
31,"Installation, Maintenance, & Repair Occupations","2017",42108,2234
25,"Sales & Office Occupations","2013",31291,400
32,"Production, Transportation, & Material Moving Occupations","2016",29633,1164
19,"Protective Service Occupations","2018",44681,1731
6,"Computer & Mathematical Occupations","2014",80373,1597
33,"Production Occupations","2013",26070,1213
6,"Computer & Mathematical Occupations","2018",90341,4903
5,"Computer, Engineering, & Science Occupations","2017",78113,4444
24,"Personal Care & Service Occupations","2015",17291,663
21,"Law Enforcement Workers Including Supervisors","2013",63206,7039
1,"Management, Business, Science, & Arts Occupations","2013",61984,428
9,"Education, Legal, Community Service, Arts, & Media Occupations","2015",50926,561
16,"Health Technologists & Technicians","2013",44369,2956
27,"Office & Administrative Support Occupations","2016",35507,598
4,"Business & Financial Operations Occupations","2018",79103,2523
34,"Transportation Occupations","2013",30030,2404
34,"Transportation Occupations","2017",31740,604
20,"Fire Fighting & Prevention, & Other Protective Service Workers Including Supervisors","2017",32304,2132
28,"Natural Resources, Construction, & Maintenance Occupations","2013",35397,942
4,"Business & Financial Operations Occupations","2017",75878,1464
2,"Management, Business, & Financial Occupations","2013",73820,3140
13,"Arts, Design, Entertainment, Sports, & Media Occupations","2015",51743,786
18,"Healthcare Support Occupations","2016",22343,1006
9,"Education, Legal, Community Service, Arts, & Media Occupations","2013",48953,1617
19,"Protective Service Occupations","2014",40187,2071
6,"Computer & Mathematical Occupations","2017",82700,4376
29,"Farming, Fishing, & Forestry Occupations","2015",26495,4908
14,"Healthcare Practitioners & Technical Occupations","2013",66310,1234
33,"Production Occupations","2015",25393,1256
12,"Education Instruction, & Library Occupations","2015",42411,2410
0,"Total","2018",42988,883
17,"Service Occupations","2013",21937,347
22,"Food Preparation & Serving Related Occupations","2016",21046,479
24,"Personal Care & Service Occupations","2013",18445,1166
7,"Architecture & Engineering Occupations","2014",69353,3838
1,"Management, Business, Science, & Arts Occupations","2015",62294,511
19,"Protective Service Occupations","2015",42049,1459
4,"Business & Financial Operations Occupations","2013",70570,1626
30,"Construction & Extraction Occupations","2017",36402,1260
30,"Construction & Extraction Occupations","2014",32129,884
10,"Community & Social Service Occupations","2015",41338,889
23,"Building & Grounds Cleaning & Maintenance Occupations","2016",24734,1232
26,"Sales & Related Occupations","2017",30536,1109
28,"Natural Resources, Construction, & Maintenance Occupations","2017",37392,1783
6,"Computer & Mathematical Occupations","2016",80212,3959
17,"Service Occupations","2014",21495,278
34,"Transportation Occupations","2018",33505,2093
11,"Legal Occupations","2013",100628,7048
30,"Construction & Extraction Occupations","2016",35364,1440
30,"Construction & Extraction Occupations","2015",32579,1653
11,"Legal Occupations","2018",112000,10193
6,"Computer & Mathematical Occupations","2015",80712,3596
17,"Service Occupations","2017",23341,534
18,"Healthcare Support Occupations","2013",23101,1162
19,"Protective Service Occupations","2017",44915,3141
18,"Healthcare Support Occupations","2017",22175,530
5,"Computer, Engineering, & Science Occupations","2013",71995,2133
14,"Healthcare Practitioners & Technical Occupations","2015",65124,2891
9,"Education, Legal, Community Service, Arts, & Media Occupations","2014",49817,1638
31,"Installation, Maintenance, & Repair Occupations","2018",47023,4977
3,"Management Occupations","2018",81975,1360
23,"Building & Grounds Cleaning & Maintenance Occupations","2018",25647,915
20,"Fire Fighting & Prevention, & Other Protective Service Workers Including Supervisors","2014",28370,2167
4,"Business & Financial Operations Occupations","2016",71350,1233
14,"Healthcare Practitioners & Technical Occupations","2018",71111,1188
22,"Food Preparation & Serving Related Occupations","2013",19863,726
7,"Architecture & Engineering Occupations","2013",63641,3920
20,"Fire Fighting & Prevention, & Other Protective Service Workers Including Supervisors","2016",31186,1887
7,"Architecture & Engineering Occupations","2015",71976,3621
22,"Food Preparation & Serving Related Occupations","2017",22020,536
12,"Education Instruction, & Library Occupations","2014",40675,1305
12,"Education Instruction, & Library Occupations","2018",47283,2535
16,"Health Technologists & Technicians","2016",42675,2150
5,"Computer, Engineering, & Science Occupations","2016",75096,3508
35,"Material Moving Occupations","2018",25159,1255
31,"Installation, Maintenance, & Repair Occupations","2014",42310,4718
26,"Sales & Related Occupations","2014",28036,2058
13,"Arts, Design, Entertainment, Sports, & Media Occupations","2016",51523,837
