ID Occupation,Occupation,ID Year,Year,Median Earnings by Occupation,Median Earnings by Occupation Moe,Geography,ID Geography,Slug Geography
11,"Legal Occupations",2018,"2018",112000,10193,"New York, NY","16000US3651000","new-york-ny"
11,"Legal Occupations",2017,"2017",110216,13323,"New York, NY","16000US3651000","new-york-ny"
11,"Legal Occupations",2016,"2016",103626,12569,"New York, NY","16000US3651000","new-york-ny"
11,"Legal Occupations",2015,"2015",101607,2133,"New York, NY","16000US3651000","new-york-ny"
11,"Legal Occupations",2013,"2013",100628,7048,"New York, NY","16000US3651000","new-york-ny"
11,"Legal Occupations",2014,"2014",100476,6885,"New York, NY","16000US3651000","new-york-ny"
6,"Computer & Mathematical Occupations",2018,"2018",90341,4903,"New York, NY","16000US3651000","new-york-ny"
6,"Computer & Mathematical Occupations",2017,"2017",82700,4376,"New York, NY","16000US3651000","new-york-ny"
3,"Management Occupations",2018,"2018",81975,1360,"New York, NY","16000US3651000","new-york-ny"
5,"Computer, Engineering, & Science Occupations",2018,"2018",81964,1764,"New York, NY","16000US3651000","new-york-ny"
3,"Management Occupations",2017,"2017",81276,1084,"New York, NY","16000US3651000","new-york-ny"
2,"Management, Business, & Financial Occupations",2018,"2018",81050,823,"New York, NY","16000US3651000","new-york-ny"
15,"Health Diagnosing & Treating Practitioners & Other Technical Occupations",2018,"2018",80973,1331,"New York, NY","16000US3651000","new-york-ny"
6,"Computer & Mathematical Occupations",2013,"2013",80723,1804,"New York, NY","16000US3651000","new-york-ny"
6,"Computer & Mathematical Occupations",2015,"2015",80712,3596,"New York, NY","16000US3651000","new-york-ny"
6,"Computer & Mathematical Occupations",2014,"2014",80373,1597,"New York, NY","16000US3651000","new-york-ny"
6,"Computer & Mathematical Occupations",2016,"2016",80212,3959,"New York, NY","16000US3651000","new-york-ny"
2,"Management, Business, & Financial Occupations",2017,"2017",79723,2801,"New York, NY","16000US3651000","new-york-ny"
15,"Health Diagnosing & Treating Practitioners & Other Technical Occupations",2017,"2017",79424,3842,"New York, NY","16000US3651000","new-york-ny"
4,"Business & Financial Operations Occupations",2018,"2018",79103,2523,"New York, NY","16000US3651000","new-york-ny"
5,"Computer, Engineering, & Science Occupations",2017,"2017",78113,4444,"New York, NY","16000US3651000","new-york-ny"
3,"Management Occupations",2016,"2016",77481,2726,"New York, NY","16000US3651000","new-york-ny"
7,"Architecture & Engineering Occupations",2018,"2018",77152,5032,"New York, NY","16000US3651000","new-york-ny"
3,"Management Occupations",2013,"2013",77097,2097,"New York, NY","16000US3651000","new-york-ny"
7,"Architecture & Engineering Occupations",2016,"2016",76826,4897,"New York, NY","16000US3651000","new-york-ny"
15,"Health Diagnosing & Treating Practitioners & Other Technical Occupations",2013,"2013",76679,3573,"New York, NY","16000US3651000","new-york-ny"
15,"Health Diagnosing & Treating Practitioners & Other Technical Occupations",2014,"2014",76579,2826,"New York, NY","16000US3651000","new-york-ny"
3,"Management Occupations",2015,"2015",76364,1808,"New York, NY","16000US3651000","new-york-ny"
15,"Health Diagnosing & Treating Practitioners & Other Technical Occupations",2015,"2015",76322,1112,"New York, NY","16000US3651000","new-york-ny"
15,"Health Diagnosing & Treating Practitioners & Other Technical Occupations",2016,"2016",75937,1843,"New York, NY","16000US3651000","new-york-ny"
